CVEGEO,p60,ab_sh,cplus_sh,c_sh,cminus_sh,dplus_sh,d_sh,e_sh,centroid_lat,centroid_lon,demanda,dem_ab,dem_cplus,dem_c,dem_cminus,dem_dplus,dem_d,dem_e,seg_premium,seg_financia,seg_contado,seg_publico,cap_credito,ing_prom,prioridad_A,pct_publico,pct_privado,dem_publico,dem_privado_directo,oferta_2km,desatencion
0200400010530,602.0,0.2854812398042414,0.2422512234910277,0.1582381729200652,0.1068515497553018,0.0717781402936378,0.1174551386623164,0.0179445350734094,32.49922100635736,-117.01367255115376,36.12,10.3115823817292,8.750114192495921,5.715562805872757,3.859477977161501,2.5926264274061985,4.2424796084828715,0.6481566068515496,10.3115823817292,14.46567699836868,6.83510603588907,4.507634584013051,25.774877650897228,34798.063621533445,3.7285105477035096,79.0,21.0,29.0,8.0,2,12.04
0200400013696,504.0,0.2271414821944177,0.2839268527430221,0.1953801732435033,0.1684311838306063,0.0741097208854668,0.0471607314725697,0.0038498556304138,32.509628566194586,-117.12223007409746,30.24,6.868758421559192,8.585948026948989,5.908296438883542,5.093358999037536,2.241077959576516,1.42614051973051,0.1164196342637151,6.868758421559192,14.49424446583253,3.6672184793070257,5.209778633301251,25.64388835418672,34334.08662175169,3.716887868600981,79.0,21.0,24.0,6.0,2,10.08
0200400016385,393.0,0.253615127919911,0.3448275862068966,0.2163515016685205,0.1195773081201334,0.046718576195773,0.0172413793103448,0.0016685205784204,32.486398214266266,-116.9877733275816,23.58,5.9802447163515025,8.13103448275862,5.101568409343715,2.8196329254727472,1.1016240266963293,0.406551724137931,0.0393437152391546,5.9802447163515025,13.232602892102337,1.5081757508342604,2.858976640711902,28.068965517241377,36337.021134594,3.7142547428176904,82.0,18.0,19.0,4.0,1,11.79
0200400015974,407.0,0.2358276643990929,0.3231292517006803,0.2352607709750566,0.1179138321995464,0.0476190476190476,0.0385487528344671,0.0017006802721088,32.457599822547664,-116.888053637052,24.42,5.75891156462585,7.8908163265306115,5.745068027210884,2.879455782312925,1.1628571428571428,0.941360544217687,0.0415306122448979,5.75891156462585,13.635884353741496,2.1042176870748297,2.920986394557823,27.17460317460317,35585.099773242626,3.705497462477054,81.0,19.0,20.0,5.0,1,12.21
0200400011399,522.0,0.2532051282051282,0.2542735042735042,0.2061965811965811,0.1495726495726495,0.0715811965811965,0.0555555555555555,0.0096153846153846,32.52604646200406,-117.11981759295972,31.32,7.9303846153846145,7.963846153846153,6.458076923076922,4.684615384615385,2.2419230769230767,1.74,0.3011538461538461,7.9303846153846145,14.421923076923076,3.981923076923077,4.985769230769231,25.60897435897436,34533.002136752126,3.693306582840236,79.0,21.0,25.0,7.0,3,7.83
0200400010600,758.0,0.0957781978575929,0.1739130434782608,0.2350346565847511,0.2022684310018903,0.1260239445494644,0.1493383742911153,0.017643352236925,32.49307563547756,-117.03454709458174,45.48,4.355992438563327,7.909565217391305,10.68937618147448,9.199168241965973,5.7315689981096405,6.7919092627599245,0.8024196597353497,4.355992438563327,18.598941398865783,12.523478260869563,10.001587901701322,19.604284814114685,28914.88720856963,3.646189444243934,75.0,25.0,34.0,11.0,2,15.159999999999998
0200400014374,432.0,0.2061711079943899,0.2959326788218794,0.2370266479663394,0.123422159887798,0.0715287517531556,0.0546984572230014,0.0112201963534361,32.512652865000774,-117.0153297603621,25.92,5.343955119214586,7.670575035063114,6.143730715287517,3.199102384291725,1.8540252454417951,1.4177840112201965,0.2908274894810659,5.343955119214586,13.81430575035063,3.2718092566619914,3.489929873772791,25.680224403927067,34223.812061711076,3.547544716534643,80.0,20.0,21.0,5.0,40,0.6321951219512195
0200400011670,656.0,0.1277926720285969,0.1823056300268096,0.2439678284182305,0.2144772117962466,0.1188561215370866,0.1063449508489723,0.0062555853440571,32.48804638119028,-116.95590842277848,39.36,5.029919571045576,7.175549597855228,9.602573726541555,8.441823056300269,4.678176943699732,4.18573726541555,0.2462198391420911,5.029919571045576,16.778123324396784,8.863914209115283,8.68804289544236,20.751563896336013,30081.676496872205,3.4817229822682543,76.0,24.0,30.0,9.0,9,3.936
0200400011083,726.0,0.1075353218210361,0.1978021978021978,0.1962323390894819,0.1860282574568288,0.1357927786499215,0.1585557299843014,0.0180533751962323,32.47813231174299,-116.91481273759244,43.559999999999995,4.684238618524333,8.616263736263734,8.547880690737834,8.103390894819466,5.915133437990581,6.90668759811617,0.7864050235478807,4.684238618524333,17.164144427001567,12.821821036106751,8.889795918367346,20.25824175824176,29401.27943485086,3.477153873755757,75.0,25.0,33.0,11.0,6,6.222857142857142
0200400015423,460.0,0.2349137931034483,0.271551724137931,0.21875,0.1217672413793103,0.0721982758620689,0.0646551724137931,0.0161637931034482,32.532251653570874,-116.97416031566696,27.6,6.483620689655172,7.494827586206897,6.0375,3.3607758620689654,1.9926724137931031,1.7844827586206895,0.4461206896551724,6.483620689655172,13.532327586206897,3.777155172413793,3.806896551724138,25.650862068965512,34395.5474137931,3.471158683858501,80.0,20.0,22.0,6.0,3,6.9
0200400015692,459.0,0.1923890063424947,0.3114869626497533,0.1839323467230444,0.1106412966878083,0.0634249471458773,0.0993657505285412,0.0387596899224806,32.516031494591246,-116.9264585844629,27.54,5.298393234672305,8.578350951374206,5.065496828752643,3.0470613107822406,1.7467230443974628,2.736532769556025,1.0674418604651164,5.298393234672305,13.64384778012685,4.4832558139534875,4.114503171247357,25.272022551092316,33574.463706835806,3.448076287830366,79.0,21.0,22.0,6.0,3,6.885
0200400011191,671.0,0.079913606911447,0.175665946724262,0.2645788336933045,0.1969042476601872,0.1231101511879049,0.1375089992800576,0.0223182145428365,32.48820553511261,-117.0577013611098,40.26,3.2173218142548596,7.07231101511879,10.65194384449244,7.927365010799137,4.956414686825053,5.536112311015119,0.8985313174946005,3.2173218142548596,17.72425485961123,10.492526997840171,8.825896328293737,19.43016558675306,28689.069834413243,3.4438520682405875,75.0,25.0,30.0,10.0,1,20.13
